restaurant_url,Label 1,Label 2,Label 3,Label 4,Label 5
https://www.yelp.com/biz/la-cabana-mexican-restaurant-anchorage,Mexican,,,,
https://www.yelp.com/biz/midnight-sun-cafe-anchorage,,,,,
https://www.yelp.com/biz/pita-pit-anchorage,,,,,
https://www.yelp.com/biz/jimmys-asian-food-anchorage,,,,,
https://www.yelp.com/biz/rays-place-anchorage-2,,,,,
https://www.yelp.com/biz/wonjo-korean-cuisine-anchorage-3,,,,,
https://www.yelp.com/biz/wild-scoops-anchorage-2,,,,,
https://www.yelp.com/biz/silk-anchorage-3,,,,,
https://www.yelp.com/biz/cache-restaurant-little-rock,,,,,
https://www.yelp.com/biz/meta-and-rose-wasilla,,,,,
https://www.yelp.com/biz/smashburger-wasilla,,,,,
https://www.yelp.com/biz/tokyo-japanese-restaurant-wasilla,,,,,
https://www.yelp.com/biz/denali-family-restaurant-wasilla,,,,,
https://www.yelp.com/biz/settlers-bay-lodge-wasilla,,,,,
https://www.yelp.com/biz/knik-pizza-wasilla,,,,,
https://www.yelp.com/biz/triple-j-roadhouse-wasilla,American,Desserts,Juice Bars & Smoothies,,
https://www.yelp.com/biz/kings-asian-buffet-wasilla,,,,,
https://www.yelp.com/biz/missys-spot-wasilla,,,,,
https://www.yelp.com/biz/big-bear-campground-and-rv-park-wasilla,Parks,,,,
https://www.yelp.com/biz/papa-johns-pizza-wasilla,,,,,
https://www.yelp.com/biz/qdoba-mexican-eats-wasilla,,,,,
https://www.yelp.com/biz/bitchin-biscuits-wasilla,,,,,
https://www.yelp.com/biz/larson-s-pizza-joint-wasilla,,,,,
https://www.yelp.com/biz/ihop-wasilla,,,,,
https://www.yelp.com/biz/papa-murphys-take-n-bake-wasilla,,,,,
https://www.yelp.com/biz/starbucks-wasilla-3,,,,,
https://www.yelp.com/biz/dairy-queen-grill-and-chill-wasilla,Fast Food,Ice Cream & Frozen Yogurt,Burgers,,
https://www.yelp.com/biz/pizza-king-wasilla,,,,,
https://www.yelp.com/biz/dominos-pizza-wasilla,,,,,
https://www.yelp.com/biz/cold-stone-creamery-wasilla,Ice Cream & Frozen Yogurt,Custom Cakes,Cupcakes,,
https://www.yelp.com/biz/perkup-espresso-wasilla-2,,,,,
https://www.yelp.com/biz/subway-wasilla-17,,,,,
https://www.yelp.com/biz/museum-of-alaska-transportation-and-industry-wasilla,,,,,
https://www.yelp.com/biz/mocha-moose-coffee-company-and-roastery-wasilla,Coffee Roasteries,,,,
https://www.yelp.com/biz/great-alaska-pizza-co-wasilla,Pizza,,,,
https://www.yelp.com/biz/little-millers-ice-cream-wasilla,,,,,
https://www.yelp.com/biz/eastern-european-store-and-deli-wasilla,,,,,
https://www.yelp.com/biz/on-the-fly-espresso-wasilla,,,,,
https://www.yelp.com/biz/kgb-pizza-wasilla,,,,,
https://www.yelp.com/biz/oh-my-goodness-sammies-and-pies-anchorage,,,,,
https://www.yelp.com/biz/mcdonalds-wasilla-3,Fast Food,Burgers,Coffee & Tea,,
https://www.yelp.com/biz/perkup-espresso-wasilla-3,,,,,
https://www.yelp.com/biz/newcomb-park-wasilla-lake-wasilla,,,,,
https://www.yelp.com/biz/hyer-grounds-espresso-wasilla,,,,,
https://www.yelp.com/biz/sleepy-hollow-golf-course-wasilla,Golf,,,,
https://www.yelp.com/biz/kfc-wasilla-3,,,,,
https://www.yelp.com/biz/wendys-wasilla,,,,,
https://www.yelp.com/biz/pizza-hut-wasilla-4,,,,,
https://www.yelp.com/biz/sub-station-cafe-wasilla,,,,,
https://www.yelp.com/biz/cake-studio-wasilla,,,,,
https://www.yelp.com/biz/north-bowl-wasilla,,,,,
https://www.yelp.com/biz/barbecue-babes-wasilla,,,,,
https://www.yelp.com/biz/aunties-cafe-palmer,,,,,
https://www.yelp.com/biz/verdas-cakes-and-things-wasilla,,,,,
https://www.yelp.com/biz/the-fish-house-wasilla,,,,,
https://www.yelp.com/biz/raven-ribs-wasilla,,,,,
https://www.yelp.com/biz/arbys-wasilla,,,,,
https://www.yelp.com/biz/sonic-drive-in-wasilla,,,,,
https://www.yelp.com/biz/pattaya-thai-cuisine-wasilla,,,,,
https://www.yelp.com/biz/carter-park-wasilla,,,,,
https://www.yelp.com/biz/the-wandering-cafe-wasilla,,,,,
https://www.yelp.com/biz/taco-bell-wasilla-2,,,,,
https://www.yelp.com/biz/carls-jr-wasilla,,,,,
https://www.yelp.com/biz/panda-express-wasilla-2,Chinese,Fast Food,,,
https://www.yelp.com/biz/mocha-moose-coffee-house-cafe-and-roastery-wasilla,,,,,
https://www.yelp.com/biz/big-js-bbq-catering-wasilla,,,,,
https://www.yelp.com/biz/rws-hamburger-house-wasilla-2,Burgers,,,,
https://www.yelp.com/biz/beary-cool-yogurt-wasilla,Ice Cream & Frozen Yogurt,,,,
https://www.yelp.com/biz/hacienda-mexican-restaurant-wasilla-2,,,,,
https://www.yelp.com/biz/little-millers-wasilla,Coffee & Tea,Ice Cream & Frozen Yogurt,,,
https://www.yelp.com/biz/49th-state-street-coffee-wasilla,Coffee & Tea,,,,
https://www.yelp.com/biz/raising-canes-chicken-fingers-wasilla,Chicken Shop,Fast Food,,,
https://www.yelp.com/biz/kaladi-brothers-coffee-wasilla-4,Coffee & Tea,,,,
https://www.yelp.com/biz/wingstop-wasilla,Chicken Wings,,,,
https://www.yelp.com/biz/evangelos-wasilla,Pizza,Italian,,,
https://www.yelp.com/biz/red-robin-gourmet-burgers-and-brews-wasilla,,,,,
https://www.yelp.com/biz/thai-asian-cuisine-restaurant-wasilla-2,Thai,Asian Fusion,,,
https://www.yelp.com/biz/locals-pub-and-pizzeria-wasilla-2,Pizza,Pubs,Chicken Wings,,
https://www.yelp.com/biz/nonna-s-osteria-restaurant-wasilla,,,,,
https://www.yelp.com/biz/north-star-bakery-wasilla-2,Bakeries,Custom Cakes,Cupcakes,,
https://www.yelp.com/biz/peking-chinese-restaurant-wasilla,Chinese,,,,
https://www.yelp.com/biz/house-of-bread-bakery-cafe-wasilla,Bakeries,Sandwiches,,,
https://www.yelp.com/biz/the-grill-wasilla,Bars,American,Salad,,
https://www.yelp.com/biz/triple-a-s-soulfood-wasilla,Soul Food,Cajun/Creole,,,
https://www.yelp.com/biz/e-lu-fa-restaurant-wasilla,Asian Fusion,,,,
https://www.yelp.com/biz/the-perfect-start-espresso-wasilla,Coffee & Tea,,,,
https://www.yelp.com/biz/mocha-moose-wasilla,Coffee & Tea,,,,
https://www.yelp.com/biz/a-and-w-windbreak-hotel-cafe-and-bar-wasilla-2,,,,,
https://www.yelp.com/biz/keelys-coffee-house-wasilla,Coffee & Tea,Cafes,,,
